exercicio;codigo_unidade_gestora;codigo_unidade_orcamentaria;nome_unidade_orcamentaria;numero_empenho;data_empenho;codigo_elemento;nome_elemento_despesa;codigo_funcao;nome_funcao;codigo_sub_funcao;nome_sub_funcao;codigo_programa;nome_programa;codigo_acao;nome_acao;nome_credor;codigo_credor;historico;valor_contratado;valor_realizado;valor_pago
2024;201157;02110;Fundo Municipal de Saude;'0000321;06/02/2024;30;Material de Consumo;10;Saúde;302;Assistência Hospitalar e Ambulatorial;1002;SAUDE ACOLHEDORA, INTEGRAL, RESOLUTIVA E CIDADA ESSE E MEU LUGAR;2037;MANUTENCAO DO BLOCO DAS ACOES E SERVICOS PUBLICOS DE SAUDE-ATENCAO ESP;HILTON PINHEIRO DANTAS;'09261355000109;VALOR QUE SE EMPENHA REFERENTE A COMPRA DE COMBUSTIVEL GASOLINA COMUM DESTINADO AO GERADOR GER0001 PERTENCENTE AO PRONTO ATENDIMENTO DESTE MUNICIPIO RELATIVO AO MÊS DE JANEIRO DE 2024;215.6;215.6;215.6
2024;201157;02040;Secretaria de Saude;'0000322;06/02/2024;30;Material de Consumo;10;Saúde;301;Atenção Básica;2002;ADMINISTRANDO COM O CUIDADO DO POVO ESSE E MEU LUGAR;2009;MANUTENCAO DAS ATIVIDADES DA  SECRETARIA DE SAUDE;HILTON PINHEIRO DANTAS;'09261355000109;VALOR QUE SE EMPENHA REFERENTE A COMPRA DE COMBUSTIVEL GASOLINA COMUM DESTINADO A MOTO SHINERAY DE PLACA SLF9G49 PERTENCENTE A SECRETARIA DE SAUDE DESTE MUNICIPIO RELATIVO AO MÊS DE JANEIRO DE 2024;94.26;94.26;94.26
2024;201157;02040;Secretaria de Saude;'0000323;06/02/2024;30;Material de Consumo;10;Saúde;301;Atenção Básica;2002;ADMINISTRANDO COM O CUIDADO DO POVO ESSE E MEU LUGAR;2009;MANUTENCAO DAS ATIVIDADES DA  SECRETARIA DE SAUDE;HILTON PINHEIRO DANTAS;'09261355000109;VALOR QUE SE EMPENHA REFERENTE A COMPRA DE COMBUSTIVEL GASOLINA COMUM DESTINADO A MOTO BIZ DE PLACA OFH6327 PERTENCENTE A SECRETARIA DE SAUDE DESTE MUNICIPIO RELATIVO AO MÊS DE JANEIRO DE 2024;24.05;24.05;24.05
2024;201157;02040;Secretaria de Saude;'0000325;06/02/2024;30;Material de Consumo;10;Saúde;301;Atenção Básica;2002;ADMINISTRANDO COM O CUIDADO DO POVO ESSE E MEU LUGAR;2009;MANUTENCAO DAS ATIVIDADES DA  SECRETARIA DE SAUDE;HILTON PINHEIRO DANTAS;'09261355000109;VALOR QUE SE EMPENHA REFERENTE A COMPRA DE COMBUSTIVEL GASOLINA COMUM DESTINADO A MOTO SHINERAY DE PLACA SLF9G19 PERTENCENTE A SECRETARIA DE SAUDE DESTE MUNICIPIO RELATIVO AO MÊS DE JANEIRO DE 2024;30.65;30.65;30.65
2024;201157;02110;Fundo Municipal de Saude;'0000326;06/02/2024;30;Material de Consumo;10;Saúde;301;Atenção Básica;1002;SAUDE ACOLHEDORA, INTEGRAL, RESOLUTIVA E CIDADA ESSE E MEU LUGAR;2035;MANUTENCAO DO BLOCO DAS ACOES E SERVICOS PUBLICOS DE SAUDE- ATENCAO PR;HILTON PINHEIRO DANTAS;'09261355000109;VALOR QUE SE EMPENHA REFERENTE A COMPRA DE COMBUSTIVEL GASOLINA COMUM DESTINADO AO FORD KA DE PLACA QSJ2H85 PERTENCENTE AO PSF 8 DESTE MUNICIPIO RELATIVO AO MÊS DE JANEIRO DE 2024;693.02;693.02;693.02
2024;201157;02110;Fundo Municipal de Saude;'0000327;06/02/2024;30;Material de Consumo;10;Saúde;302;Assistência Hospitalar e Ambulatorial;1002;SAUDE ACOLHEDORA, INTEGRAL, RESOLUTIVA E CIDADA ESSE E MEU LUGAR;2037;MANUTENCAO DO BLOCO DAS ACOES E SERVICOS PUBLICOS DE SAUDE-ATENCAO ESP;HILTON PINHEIRO DANTAS;'09261355000109;VALOR QUE SE EMPENHA REFERENTE A COMPRA DE COMBUSTIVEL OLEO DIESEL S10 DESTINADO A AMBULANCIA SPRINT DE PLACA QSF2743 PERTENCENTE AO SAMU DESTE MUNICIPIO RELATIVO AO MÊS DE JANEIRO DE 2024;2121.97;2121.97;2121.97
2024;201157;02040;Secretaria de Saude;'0000328;06/02/2024;30;Material de Consumo;10;Saúde;301;Atenção Básica;2002;ADMINISTRANDO COM O CUIDADO DO POVO ESSE E MEU LUGAR;2009;MANUTENCAO DAS ATIVIDADES DA  SECRETARIA DE SAUDE;HILTON PINHEIRO DANTAS;'09261355000109;VALOR QUE SE EMPENHA REFERENTE A COMPRA DE COMBUSTIVEL GASOLINA COMUM DESTINADO AO VEICULO UNO MILLE DE PLACA OXO3828 PERTENCENTE A SECRETARIA DE SAUDE DESTE MUNICIPIO RELATIVO AO MÊS DE JANEIRO DE 2024;661.86;661.86;661.86
2024;201157;02040;Secretaria de Saude;'0000330;06/02/2024;30;Material de Consumo;10;Saúde;301;Atenção Básica;2002;ADMINISTRANDO COM O CUIDADO DO POVO ESSE E MEU LUGAR;2009;MANUTENCAO DAS ATIVIDADES DA  SECRETARIA DE SAUDE;HILTON PINHEIRO DANTAS;'09261355000109;VALOR QUE SE EMPENHA REFERENTE A COMPRA DE COMBUSTIVEL GASOLINA COMUM DESTINADO AO VEICULO GOL DE PLACA QSH1257 LOCADO A SECRETARIA DE SAUDE DESTE MUNICIPIO RELATIVO AO MÊS DE JANEIRO DE 2024;3368.13;3368.13;3368.13
2024;201157;02110;Fundo Municipal de Saude;'0000332;06/02/2024;30;Material de Consumo;10;Saúde;302;Assistência Hospitalar e Ambulatorial;1002;SAUDE ACOLHEDORA, INTEGRAL, RESOLUTIVA E CIDADA ESSE E MEU LUGAR;2037;MANUTENCAO DO BLOCO DAS ACOES E SERVICOS PUBLICOS DE SAUDE-ATENCAO ESP;HILTON PINHEIRO DANTAS;'09261355000109;VALOR QUE SE EMPENHA REFERENTE A COMPRA DE COMBUSTIVEL OLEO DIESEL S10 DESTINADO A AMBULANCIA MASTER DE PLACA NQG2382 PERTENCENTE AO PRONTO ATENDIMENTO DESTE MUNICIPIO RELATIVO AO MÊS DE JANEIRO DE 2024;1060.28;1060.28;1060.28
2024;201157;02110;Fundo Municipal de Saude;'0000334;06/02/2024;30;Material de Consumo;10;Saúde;301;Atenção Básica;1002;SAUDE ACOLHEDORA, INTEGRAL, RESOLUTIVA E CIDADA ESSE E MEU LUGAR;2035;MANUTENCAO DO BLOCO DAS ACOES E SERVICOS PUBLICOS DE SAUDE- ATENCAO PR;HILTON PINHEIRO DANTAS;'09261355000109;VALOR QUE SE EMPENHA REFERENTE A COMPRA DE COMBUSTIVEL OLEO DIESEL S10 DESTINADO A TORO VULCANO DE PLACA RLW6A83 PERTENCENTE A ATENCAO BASICA DESTE MUNICIPIO RELATIVO AO MÊS DE JANEIRO DE 2024;1610.16;1610.16;1610.16
