exercicio;codigo_unidade_gestora;codigo_unidade_orcamentaria;nome_unidade_orcamentaria;numero_empenho;data_empenho;codigo_elemento;nome_elemento_despesa;codigo_funcao;nome_funcao;codigo_sub_funcao;nome_sub_funcao;codigo_programa;nome_programa;codigo_acao;nome_acao;nome_credor;codigo_credor;historico;valor_contratado;valor_realizado;valor_pago;;;;;;;;;
2025;201157;02010;Secretaria de Gestao;'0000352;07/02/2025;30;Material de Consumo;4;Administração;122;Administração Geral;2002;ADMINISTRANDO COM O CUIDADO DO POVO ESSE E MEU LUGAR;2002;MANUTENCAO DAS ATIVIDADES DA SECRETARIA DE GESTAO;CICERA DO SOCORRO DOS SANTOS BALBINO;'07590039000155;VALOR QUE ORA SE EMPENHA PARA ATENDER DESPESA COM O CONSUMO DE COMBUSTIVEL (GASOLINA ) DO VEICULO DE PLACA OGG 6585 LOTADO NO GABINETE DO PREFEITO;1839.27;1839.27;1839.27;;;;;;;;;'0000352
2025;201157;02050;Secretaria de Educacao;'0000353;07/02/2025;30;Material de Consumo;12;Educação;361;Ensino Fundamental;1001;EDUCACAO CIDADA, INTEGRAL E PROFISSIONAL ESSE E MEU LUGAR;2010;MANUTENCAO DAS ATIVIDADES DO ENSINO FUNDAMENTAL;CICERA DO SOCORRO DOS SANTOS BALBINO;'07590039000155;VALOR QUE ORA SE EMPENHA PARA ATENDER DESPESA COM O CONSUMO DE COMBUSTIVEL (GASOLINA ) DO VEICULO  STRADA VULCANO SKU 9F88 LOTADO NA MANUTENÇAO DOS SERVIÇOS DE EDUCAÇAO;2909.74;2909.74;2909.74;;;;;;;;;
2025;201157;02050;Secretaria de Educacao;'0000355;07/02/2025;30;Material de Consumo;12;Educação;361;Ensino Fundamental;1001;EDUCACAO CIDADA, INTEGRAL E PROFISSIONAL ESSE E MEU LUGAR;2010;MANUTENCAO DAS ATIVIDADES DO ENSINO FUNDAMENTAL;CICERA DO SOCORRO DOS SANTOS BALBINO;'07590039000155;VALOR QUE ORA SE EMPENHA PARA ATENDER DESPESA COM O CONSUMO DE COMBUSTIVEL (GASOLINA ) DO VEICULO  SPIN N PLACA TOZ 7B70 NOS SERVIÇOS DE RELATIVOS A MANUTENÇAO DA EDUCAÇAO;1974.13;1974.13;1974.13;;;;;;;;;
2025;201157;02050;Secretaria de Educacao;'0000357;07/02/2025;30;Material de Consumo;12;Educação;361;Ensino Fundamental;1001;EDUCACAO CIDADA, INTEGRAL E PROFISSIONAL ESSE E MEU LUGAR;2010;MANUTENCAO DAS ATIVIDADES DO ENSINO FUNDAMENTAL;CICERA DO SOCORRO DOS SANTOS BALBINO;'07590039000155;VALOR QUE ORA SE EMPENHA PARA ATENDER DESPESA COM O CONSUMO DE COMBUSTIVEL (DIESEL ) DO VEICULO  ONIBUS DE PLACA MOK 9B12 NOS SERVIÇOS DE RELATIVOS A MANUTENÇAO DA EDUCAÇAO;200.01;200.01;200.01;;;;;;;;;
2025;201157;02050;Secretaria de Educacao;'0000358;07/02/2025;30;Material de Consumo;12;Educação;361;Ensino Fundamental;1001;EDUCACAO CIDADA, INTEGRAL E PROFISSIONAL ESSE E MEU LUGAR;2010;MANUTENCAO DAS ATIVIDADES DO ENSINO FUNDAMENTAL;CICERA DO SOCORRO DOS SANTOS BALBINO;'07590039000155;VALOR QUE ORA SE EMPENHA PARA ATENDER DESPESA COM O CONSUMO DE COMBUSTIVEL (DIESEL) DO VEICULO  ONIBUS DE SLD 4J42 NOS SERVIÇOS DE  A MANUTENÇAO DA EDUCAÇAO MUNICIPAL;1197.19;1197.19;1197.19;;;;;;;;;
2025;201157;02050;Secretaria de Educacao;'0000360;07/02/2025;30;Material de Consumo;12;Educação;361;Ensino Fundamental;1001;EDUCACAO CIDADA, INTEGRAL E PROFISSIONAL ESSE E MEU LUGAR;2010;MANUTENCAO DAS ATIVIDADES DO ENSINO FUNDAMENTAL;CICERA DO SOCORRO DOS SANTOS BALBINO;'07590039000155;VALOR QUE ORA SE EMPENHA PARA ATENDER DESPESA COM O CONSUMO DE COMBUSTIVEL ( DIESEL ) DO VEICULO  ONIBUS DE PLACA  RLW  8672 NOS SERVIÇOS DE  A MANUTENÇAO DA EDUCAÇAO MUNICIPAL;2246.6;2246.6;2246.6;;;;;;;;;
2025;201157;02050;Secretaria de Educacao;'0000362;07/02/2025;30;Material de Consumo;12;Educação;361;Ensino Fundamental;1001;EDUCACAO CIDADA, INTEGRAL E PROFISSIONAL ESSE E MEU LUGAR;2010;MANUTENCAO DAS ATIVIDADES DO ENSINO FUNDAMENTAL;CICERA DO SOCORRO DOS SANTOS BALBINO;'07590039000155;VALOR QUE ORA SE EMPENHA PARA ATENDER DESPESA COM O CONSUMO DE COMBUSTIVEL  DIESEL DO VEICULO  ONIBUS DE PLACA OFA 8A29 NOS SERVIÇOS DE  A MANUTENÇAO DA EDUCAÇAO MUNICIPAL;1159.51;1159.51;1159.51;;;;;;;;;
2025;201157;02040;Secretaria de Saude;'0000367;07/02/2025;30;Material de Consumo;10;Saúde;301;Atenção Básica;2002;ADMINISTRANDO COM O CUIDADO DO POVO ESSE E MEU LUGAR;2009;MANUTENCAO DAS ATIVIDADES DA  SECRETARIA DE SAUDE;CICERA DO SOCORRO DOS SANTOS BALBINO;'07590039000155;VALOR QUE ORA SE EMPENHA PARA ATENDER DESPESA COM O CONSUMO DE COMBUSTIVEL  (GASOLINA COMUN) DO GOL LOCADO DE PLACA RLX 4A36 NA  MANUTENÇAO DOS SERVIÇOS DE SAUDE EM VIAGENS A JOAO PESSOA COM A FINALIDADE DE ATENDER AS DEMANDAS DA SECRETARIA DE SAUDE.;1142.88;1142.88;1142.88;;;;;;;;;
2025;201157;02040;Secretaria de Saude;'0000369;07/02/2025;30;Material de Consumo;10;Saúde;301;Atenção Básica;2002;ADMINISTRANDO COM O CUIDADO DO POVO ESSE E MEU LUGAR;2009;MANUTENCAO DAS ATIVIDADES DA  SECRETARIA DE SAUDE;CICERA DO SOCORRO DOS SANTOS BALBINO;'07590039000155;VALOR QUE ORA SE EMPENHA PARA ATENDER DESPESA COM O CONSUMO DE COMBUSTIVEL  (GASOLINA COMUN) DO GOL LOCADO DE PLACA RLX 4A46 NA  MANUTENÇAO DOS SERVIÇOS DE SAUDE EM VIAGENS A RECIFE COM A FINALIDADE DE ATENDER AS DEMANDAS DA SECRETARIA DE SAUDE.;1319.62;1319.62;1319.62;;;;;;;;;
2025;201157;02040;Secretaria de Saude;'0000371;07/02/2025;30;Material de Consumo;10;Saúde;301;Atenção Básica;2002;ADMINISTRANDO COM O CUIDADO DO POVO ESSE E MEU LUGAR;2009;MANUTENCAO DAS ATIVIDADES DA  SECRETARIA DE SAUDE;CICERA DO SOCORRO DOS SANTOS BALBINO;'07590039000155;VALOR QUE ORA SE EMPENHA PARA ATENDER DESPESA COM O CONSUMO DE COMBUSTIVEL  (GASOLINA COMUN) MA MOTO NPT 0770 A SERVIÇO DA SECRETARIA DE SAUDE ATRAVES DO PROPRIO ORGAO;72.97;72.97;72.97;;;;;;;;;
