codigo_unidade_gestora;codigo_unidade_orcamentaria;numero_empenho;classificacao;data_empenho;codigo_credor;nome_credor;valor_contratado;valor_pago
201157;02080;'0000097;339039;28/01/2025;'23484444000145;3F LTDA-ORCAFASCIO;2997.0;8991.0
201157;02020;'0003422;339039;09/06/2025;'41540534000198;41.540.534 RAISSA LEITE GUERRA;4500.0;4500.0
201157;02020;'0003439;339039;09/06/2025;'41540534000198;41.540.534 RAISSA LEITE GUERRA;4500.0;4500.0
201157;02020;'0004170;339035;04/07/2025;'41540534000198;41.540.534 RAISSA LEITE GUERRA;0.0;0.0
201157;02020;'0004187;339035;07/07/2025;'41540534000198;41.540.534 RAISSA LEITE GUERRA;4500.0;4500.0
201157;02070;'0001063;339039;19/03/2025;'55880232000173;55.880.232 JOSE ADRIANO DE OLIVEIRA NASCIMENTO;0.0;0.0
201157;02070;'0001068;339039;19/03/2025;'55880232000173;55.880.232 JOSE ADRIANO DE OLIVEIRA NASCIMENTO;1500.0;1500.0
201157;02020;'0003562;339039;12/06/2025;'58711384000130;58.711.384 LUIS FHELIPE MEDEIROS DOS SANTOS;12275.0;12275.0
201157;02050;'0001512;339039;28/03/2025;'59083697000154;59.083.697 JULIANO BASILIO DA SILVA;4600.0;4600.0
201157;02050;'0001514;339039;28/03/2025;'59083697000154;59.083.697 JULIANO BASILIO DA SILVA;5000.0;5000.0
201157;02050;'0001516;339039;28/03/2025;'59083697000154;59.083.697 JULIANO BASILIO DA SILVA;4000.0;4000.0
201157;02050;'0001518;339039;28/03/2025;'59083697000154;59.083.697 JULIANO BASILIO DA SILVA;5000.0;5000.0
201157;02050;'0001519;339039;28/03/2025;'59083697000154;59.083.697 JULIANO BASILIO DA SILVA;4000.0;4000.0
201157;02110;'0001412;339030;28/03/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;3732.39;3732.39
201157;02110;'0001413;339030;28/03/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;52294.7;52294.7
201157;02110;'0001414;339030;28/03/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;0.0;0.0
201157;02110;'0001415;339030;28/03/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;130015.0;130015.0
201157;02110;'0001515;339030;28/03/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;13975.86;13975.86
201157;02110;'0001798;339030;10/04/2025;'02977362000162;A COSTA COMERCIO ATACADISTA DE PRODUTOS FARMACEUTICOS LTDA;251.1;251.1
